blok,total_trees,merah,oranye,kuning,hijau,spread_ratio,infection_pct,severity_score
F08,3770,1,1104,2663,2,1104.0,29.310344827586203,10279.224137931034
D01,3486,1,887,2586,12,887.0,25.47332185886403,8259.589328743547
D03,3131,2,1530,1599,0,765.0,48.93005429575216,7364.172021718301
F09,2579,2,544,2033,0,272.0,21.1709965102753,2620.26839860411
E01,3008,9,1601,1398,0,177.88888888888889,53.52393617021277,2105.4095744680853
D02,3182,17,1959,1206,0,115.23529411764706,62.09930861093652,1654.757370503198
E04,2569,9,1195,1365,0,132.77777777777777,46.86648501362398,1574.9465940054495
E03,2797,8,1024,1765,0,128.0,36.896675008938146,1476.358670003575
E02,2854,15,1201,1637,1,80.06666666666666,42.606867554309744,1102.442747021724
F12,3435,3,324,2616,492,108.0,9.519650655021834,1073.9078602620086
D04,2861,36,1839,986,0,51.083333333333336,65.53652569031807,1048.4646102761271
F11,2875,3,209,2199,464,69.66666666666667,7.373913043478261,693.5495652173913
F10,3443,10,569,2195,669,56.9,16.81672959628231,692.526691838513
D05,2394,0,0,2391,3,0.0,0.0,0.0
D12,2603,0,0,2596,7,0.0,0.0,0.0
D10,2574,0,0,2559,15,0.0,0.0,0.0
D11,2145,0,0,2141,4,0.0,0.0,0.0
D09,2594,0,0,2580,14,0.0,0.0,0.0
D06,2382,0,0,2374,8,0.0,0.0,0.0
D08,2524,0,0,2516,8,0.0,0.0,0.0
D07,2586,0,0,2572,14,0.0,0.0,0.0
E09,2671,0,0,2647,24,0.0,0.0,0.0
E08,2733,0,0,2728,5,0.0,0.0,0.0
E07,2523,0,0,2514,9,0.0,0.0,0.0
E06,2667,0,0,2659,8,0.0,0.0,0.0
E05,2595,0,0,2587,8,0.0,0.0,0.0
E10,2471,0,0,2449,22,0.0,0.0,0.0
E12,2578,0,0,2526,52,0.0,0.0,0.0
E11,2639,0,0,2560,79,0.0,0.0,0.0
F05,2447,0,0,2445,2,0.0,0.0,0.0
F04,1695,0,0,1694,1,0.0,0.0,0.0
F03,1667,0,0,1634,33,0.0,0.0,0.0
F02,2147,0,0,2128,19,0.0,0.0,0.0
F01,2500,0,0,2499,1,0.0,0.0,0.0
F07,2472,0,0,2468,4,0.0,0.0,0.0
F06,2963,0,0,2961,2,0.0,0.0,0.0
,0,0,0,0,0,0.0,0.0,0.0
