Rank,Block,Attack_Rate_%,Severity,Merah,Oranye,Kuning,Total_Infected,Total_Pohon,SPH,TT,Age,Luas_Ha,Realisasi_Ton_Ha,Potensi_Ton_Ha,Gap_Ton_Ha,Gap_%,Realisasi_Total_Ton,Potensi_Total_Ton
1,E009A,12.6,HIGH,55,281,258,336,2671,39,2009,17,23.7,15.65,14.58,1.07,7.4,370.94,345.52
2,D004A,10.7,HIGH,122,183,147,305,2861,119,2009,17,22.0,17.45,21.88,-4.43,-20.3,383.92,481.44
3,E004A,9.5,HIGH,69,175,155,244,2569,117,2009,17,19.9,17.3,19.77,-2.47,-12.5,344.33,393.47
4,F001A,8.8,HIGH,75,146,177,221,2500,73,2009,17,17.9,22.7,21.93,0.77,3.5,406.34,392.57
5,E002A,8.3,HIGH,99,139,185,238,2854,133,2009,17,22.2,15.63,21.32,-5.69,-26.7,346.98,473.2
6,F002A,8.1,HIGH,54,120,152,174,2147,132,2009,17,15.2,14.98,22.35,-7.37,-33.0,227.7,339.7
7,F008A,8.0,HIGH,90,210,299,300,3770,125,2008,18,29.6,21.22,19.52,1.71,8.7,628.16,577.66
8,F012A,7.8,HIGH,102,166,201,268,3435,88,2009,17,24.7,18.31,19.14,-0.83,-4.3,452.33,472.85
9,F007A,7.7,HIGH,64,127,204,191,2472,76,2008,18,20.2,19.54,18.88,0.66,3.5,394.62,381.29
10,D001A,7.5,HIGH,87,176,286,263,3486,108,2009,17,25.8,17.42,22.13,-4.71,-21.3,449.32,570.96
11,D011A,7.4,HIGH,46,112,161,158,2145,96,2009,17,24.0,15.03,14.03,1.0,7.1,360.65,336.61
12,F004A,7.4,HIGH,42,83,141,125,1695,127,2009,17,12.0,16.15,21.85,-5.7,-26.1,193.8,262.17
13,D003A,7.2,HIGH,77,148,249,225,3131,98,2009,17,25.3,16.51,21.18,-4.66,-22.0,417.73,535.73
14,D010A,7.1,HIGH,62,121,207,183,2574,8,2009,17,23.7,15.17,17.27,-2.1,-12.1,359.54,409.25
15,E011A,7.1,HIGH,85,102,219,187,2639,71,2009,17,24.3,16.33,17.47,-1.14,-6.5,396.81,424.42
16,E003A,6.8,HIGH,59,132,222,191,2797,99,2009,17,21.6,14.06,20.5,-6.45,-31.4,303.66,442.87
17,E006A,6.8,HIGH,45,137,229,182,2667,104,2009,17,24.3,18.21,17.22,0.99,5.8,442.54,418.42
18,F003A,6.8,HIGH,38,76,139,114,1667,124,2009,17,12.2,16.27,21.85,-5.57,-25.5,198.55,266.52
19,D009A,6.7,HIGH,53,120,230,173,2594,111,2009,17,24.4,17.06,16.91,0.15,0.9,416.35,412.64
20,E007A,6.5,HIGH,44,119,215,163,2523,62,2009,17,24.2,16.65,16.14,0.52,3.2,403.04,390.54
21,F006A,6.5,MEDIUM,47,145,260,192,2963,111,2008,18,24.9,19.57,18.59,0.98,5.3,487.25,462.9
22,E001A,6.4,MEDIUM,69,123,271,192,3008,95,2009,17,22.5,17.03,22.33,-5.3,-23.7,383.28,502.46
23,D007A,6.3,MEDIUM,57,107,200,164,2586,94,2009,17,24.7,17.53,16.75,0.79,4.7,433.03,413.62
24,D012A,6.1,MEDIUM,40,119,221,159,2603,118,2009,17,26.7,15.73,15.35,0.38,2.5,419.94,409.9
25,D002A,5.9,MEDIUM,50,138,275,188,3182,125,2009,17,23.7,17.54,22.74,-5.2,-22.9,415.73,538.91
26,E012A,5.4,MEDIUM,36,103,269,139,2578,83,2009,17,25.4,15.94,16.84,-0.9,-5.3,404.86,427.64
27,D005A,5.3,MEDIUM,45,83,229,128,2394,87,2009,17,24.1,15.98,15.13,0.86,5.7,385.13,364.52
28,E010A,5.0,MEDIUM,40,84,226,124,2471,87,2009,17,25.6,16.1,15.48,0.62,4.0,412.2,396.36
29,D006A,4.9,MEDIUM,37,80,244,117,2382,85,2009,17,23.0,17.3,16.22,1.08,6.6,397.9,373.14
30,E008A,4.9,MEDIUM,48,87,275,135,2733,67,2009,17,24.7,18.26,17.16,1.1,6.4,451.05,423.94
31,F005A,4.5,MEDIUM,28,82,260,110,2447,119,2009,17,20.5,18.14,18.52,-0.38,-2.0,371.9,379.63
32,F009A,4.1,MEDIUM,27,80,281,107,2579,68,2009,17,25.2,17.25,16.29,0.95,5.8,434.58,410.61
33,F010A,4.0,MEDIUM,48,91,250,139,3443,77,2009,17,25.0,17.12,17.64,-0.53,-3.0,427.88,441.08
34,F011A,4.0,MEDIUM,38,77,224,115,2875,72,2009,17,20.5,17.54,18.95,-1.41,-7.4,359.58,388.41
35,D008A,3.8,MEDIUM,23,72,274,95,2524,101,2009,17,25.3,15.72,15.56,0.16,1.0,397.66,393.59
36,E005A,3.7,MEDIUM,26,69,286,95,2595,98,2009,17,24.0,18.29,16.97,1.33,7.8,439.02,407.17
